date,type,score
2022-09-15 11:13:50.802090,reaction_visual,0.22792410000693053
2022-09-15 11:14:20.294407,reaction_visual,0.22751440000138246
2022-09-15 11:14:28.045421,reaction_visual,0.2546723999985261
2022-09-15 11:14:32.830885,reaction_visual,0.24079969999729656
2022-09-15 11:14:36.633577,reaction_visual,0.24489099999482278
2022-09-15 11:14:41.138419,reaction_visual,0.21625649998895824
2022-09-15 11:14:45.378609,reaction_visual,0.22280289999616798
2022-09-15 11:14:51.206495,reaction_visual,0.2173882000060985
2022-09-15 11:14:56.174808,reaction_visual,0.2357207000022754
2022-09-15 11:15:01.294191,reaction_visual,0.22042919999512378
2022-09-15 11:15:06.761022,reaction_visual,0.2219891999993706
2022-09-15 11:15:11.555583,reaction_visual,0.21586369999567978
2022-09-15 11:15:15.477211,reaction_visual,0.42071869999927003
2022-09-15 11:15:20.434440,reaction_visual,0.2098779999942053
2022-09-15 11:15:25.419863,reaction_visual,0.24604359999648295
2022-09-15 11:15:30.286132,reaction_visual,0.22968560000299476
2022-09-15 11:15:35.841655,reaction_visual,0.2322353000054136
2022-09-15 11:15:39.752564,reaction_visual,0.22897050000028685
2022-09-15 11:15:45.102750,reaction_visual,0.2456157999986317
2022-09-15 11:15:49.495970,reaction_visual,0.12254090000351425
2022-09-15 11:15:53.728879,reaction_visual,0.23819749998801854
2022-09-15 11:15:58.092593,reaction_visual,0.1675548999919556
2022-09-15 11:16:03.432937,reaction_visual,0.22619529999792576
2022-09-15 11:16:08.654233,reaction_visual,0.22965619999740738
2022-09-15 11:16:12.562367,reaction_visual,0.221099399990635
2022-09-15 11:16:16.199129,reaction_visual,0.25591249999706633
2022-09-15 11:16:21.723484,reaction_visual,0.23328679999394808
2022-09-15 11:16:26.388256,reaction_visual,0.24722900000051595
2022-09-15 11:16:31.512008,reaction_visual,0.20395410001219716
2022-09-15 11:16:36.244080,reaction_visual,0.21945340000092983
2022-09-15 11:16:41.018426,reaction_visual,0.21102659999451134
2022-09-15 11:16:44.781670,reaction_visual,0.22416540000995155
2022-09-15 11:16:48.816196,reaction_visual,0.19015979999676347
2022-09-15 11:30:27.705745,reaction_visual,0.2245965000038268
2022-09-15 11:30:32.232361,reaction_visual,0.22693679999792948
2022-09-15 11:30:37.067911,reaction_visual,0.13040189999446739
2022-09-15 11:31:39.157900,reaction_and_decision,0.31833379999443423
2022-09-15 11:31:44.059198,reaction_and_decision,0.5272343999968143
2022-09-15 11:31:52.326872,reaction_and_decision,0.3274783000088064
2022-09-15 11:31:58.165472,reaction_and_decision,0.3829314000031445
